0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
18.19589,33585.582,3547.5217,4432.314,0.043973446,0.046809755,11.914283,101.58679,183918.27,4919.805,34210.816,6634.5425,7571.3667,14188.355,1.6871336e-08,1.5384984e-08
13.463114,20366.43,3330.4277,4825.163,0.03787307,0.079875275,6.251984,200.3957,220874.8,4961.452,21270.643,6631.158,6083.306,10146.48,2.512863e-08,1.6187293e-08
27.41437,18917.455,3067.306,4480.354,0.064566486,0.04160639,11.917612,118.47902,173441.52,4759.5747,19802.496,6494.0195,7784.816,8606.69,2.8129957e-08,1.3825617e-08
14.641931,55862.727,3617.6904,4458.556,0.05452314,0.04370218,11.224913,56.884033,223251.31,4739.604,53611.8,6291.447,8574.575,23615.223,1.1143341e-08,1.5979706e-08
11.266436,23734.955,3437.6646,4274.1646,0.024803478,0.035018712,13.779481,172.2521,149961.05,5039.4014,24015.285,5294.7676,7543.374,11720.993,2.1688319e-08,1.4005569e-08
11.416686,23700.553,4445.496,4632.3066,0.057451814,0.06283204,8.662933,142.65984,192853.55,5839.1216,22023.482,4193.7256,12546.771,9840.244,2.3556103e-08,1.2186366e-08
12.744292,16196.89,3054.8523,4506.2275,0.060457855,0.047060866,9.793585,89.56397,156444.84,4409.2524,17585.549,5983.4497,8485.814,7273.5396,3.0431753e-08,1.4608947e-08
15.285058,14845.988,3932.2388,4795.3726,0.04538846,0.038491834,12.1688795,232.60779,300798.47,5287.365,14218.142,5887.461,11586.362,6325.046,3.440446e-08,1.362969e-08
20.245531,77503.734,3339.4316,4671.591,0.022484073,0.048278943,12.173946,164.43246,220817.92,4680.4253,84056.05,6036.1665,9056.764,32648.797,8.027518e-09,1.4543917e-08
20.796318,11240.784,3789.7815,4617.8833,0.082253926,0.027514342,14.557115,54.921463,275530.34,5730.624,12314.461,8177.0566,6774.8433,5303.485,4.2682668e-08,1.4902454e-08
16.024944,16316.935,3468.501,4560.9634,0.051183823,0.036738344,11.600856,109.49115,284022.97,5196.0825,16501.104,5113.4907,8810.657,7253.1675,3.172796e-08,1.3607741e-08
