x,parameter,value
30.0,bottleneck_strength_domestic,3.3333333333333335e-05
59.969969969969966,bottleneck_strength_domestic,3.3333333333333335e-05
89.93993993993993,bottleneck_strength_domestic,3.3333333333333335e-05
119.90990990990991,bottleneck_strength_domestic,3.3333333333333335e-05
149.87987987987987,bottleneck_strength_domestic,3.3333333333333335e-05
179.84984984984985,bottleneck_strength_domestic,3.3333333333333335e-05
209.81981981981983,bottleneck_strength_domestic,3.3333333333333335e-05
239.78978978978978,bottleneck_strength_domestic,3.3333333333333335e-05
269.75975975975973,bottleneck_strength_domestic,3.3333333333333335e-05
299.72972972972974,bottleneck_strength_domestic,3.3333333333333335e-05
329.6996996996997,bottleneck_strength_domestic,3.3333333333333335e-05
359.66966966966964,bottleneck_strength_domestic,3.3333333333333335e-05
389.63963963963965,bottleneck_strength_domestic,3.3333333333333335e-05
419.6096096096096,bottleneck_strength_domestic,3.3333333333333335e-05
449.57957957957956,bottleneck_strength_domestic,3.3333333333333335e-05
479.54954954954957,bottleneck_strength_domestic,3.3333333333333335e-05
509.5195195195195,bottleneck_strength_domestic,3.3333333333333335e-05
539.4894894894894,bottleneck_strength_domestic,3.3333333333333335e-05
569.4594594594595,bottleneck_strength_domestic,3.3333333333333335e-05
599.4294294294294,bottleneck_strength_domestic,3.3333333333333335e-05
629.3993993993994,bottleneck_strength_domestic,3.3333333333333335e-05
659.3693693693693,bottleneck_strength_domestic,3.3333333333333335e-05
689.3393393393393,bottleneck_strength_domestic,3.3333333333333335e-05
719.3093093093094,bottleneck_strength_domestic,3.3333333333333335e-05
749.2792792792793,bottleneck_strength_domestic,3.3333333333333335e-05
779.2492492492493,bottleneck_strength_domestic,3.3333333333333335e-05
809.2192192192192,bottleneck_strength_domestic,3.3333333333333335e-05
839.1891891891892,bottleneck_strength_domestic,3.3333333333333335e-05
869.1591591591591,bottleneck_strength_domestic,3.3333333333333335e-05
899.1291291291292,bottleneck_strength_domestic,3.3333333333333335e-05
929.0990990990991,bottleneck_strength_domestic,3.3333333333333335e-05
959.0690690690691,bottleneck_strength_domestic,3.3333333333333335e-05
989.039039039039,bottleneck_strength_domestic,3.3333333333333335e-05
1019.009009009009,bottleneck_strength_domestic,3.3333333333333335e-05
1048.9789789789788,bottleneck_strength_domestic,3.3333333333333335e-05
